2025-05-25 15:03:01 | INFO     | app.service.employee_service:12 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-25 15:05:00 | INFO     | app.service.employee_service:33 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-25 15:05:00 | INFO     | app.service.employee_service:35 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-25 15:05:00 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-25 15:05:00 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-25 15:05:00 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [GET, HEAD, OPTIONS] /static/<path:filename>', 'health_check [GET, HEAD, OPTIONS] /', 'fetch_all_employees [GET, HEAD, OPTIONS] /employees', 'fetch_bench_employees [GET, HEAD, OPTIONS] /employees/bench', 'fetch_active_project_employees [GET, HEAD, OPTIONS] /employees/active_projects', 'fetch_completed_project_employees [GET, HEAD, OPTIONS] /employees/completed_projects']
2025-05-25 15:05:00 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-25 15:05:31 | INFO     | employee_api.main:27 | fetch_bench_employees() | [Thread-2 (process_request_thread)] | API REQUEST [1722028236304]: Bench employees endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.44.0
2025-05-25 15:05:31 | INFO     | app.service.employee_service:50 | get_bench_employees() | [Thread-2 (process_request_thread)] | API REQUEST: Filtering for bench employees from total 15 employees
2025-05-25 15:05:31 | INFO     | app.service.employee_service:56 | get_bench_employees() | [Thread-2 (process_request_thread)] | STATISTICS: Found 6 employees on bench (40.00% of workforce)
2025-05-25 15:05:31 | INFO     | app.service.employee_service:63 | get_bench_employees() | [Thread-2 (process_request_thread)] | DETAILED BREAKDOWN: Bench employees by department: {'Finance': 1, 'QA': 1, 'HR': 1, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-25 15:05:31 | INFO     | app.service.employee_service:65 | get_bench_employees() | [Thread-2 (process_request_thread)] | API RESPONSE: Returning 6 bench employee records
2025-05-25 15:05:31 | INFO     | employee_api.main:31 | fetch_bench_employees() | [Thread-2 (process_request_thread)] | API RESPONSE [1722028236304]: Returning 6 bench employees with HTTP 200 status
2025-05-25 15:05:42 | INFO     | employee_api.main:38 | fetch_active_project_employees() | [Thread-3 (process_request_thread)] | API REQUEST [1722028236304]: Active projects endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.44.0
2025-05-25 15:05:42 | INFO     | app.service.employee_service:69 | get_by_project_status() | [Thread-3 (process_request_thread)] | API REQUEST: Filtering employees by project status: 'active'
2025-05-25 15:05:42 | INFO     | app.service.employee_service:82 | get_by_project_status() | [Thread-3 (process_request_thread)] | STATISTICS: Found 4 employees (26.67% of workforce) with 4 'active' projects
2025-05-25 15:05:42 | INFO     | app.service.employee_service:90 | get_by_project_status() | [Thread-3 (process_request_thread)] | DETAILED BREAKDOWN: Employees with 'active' projects by department: {'IT': 4}
2025-05-25 15:05:42 | INFO     | app.service.employee_service:92 | get_by_project_status() | [Thread-3 (process_request_thread)] | API RESPONSE: Returning 4 employee records with 'active' projects
2025-05-25 15:05:42 | INFO     | employee_api.main:42 | fetch_active_project_employees() | [Thread-3 (process_request_thread)] | API RESPONSE [1722028236304]: Returning 4 employees with active projects with HTTP 200 status
2025-05-25 15:05:45 | INFO     | employee_api.main:49 | fetch_completed_project_employees() | [Thread-4 (process_request_thread)] | API REQUEST [1722028236304]: Completed projects endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.44.0
2025-05-25 15:05:45 | INFO     | app.service.employee_service:69 | get_by_project_status() | [Thread-4 (process_request_thread)] | API REQUEST: Filtering employees by project status: 'completed'
2025-05-25 15:05:45 | INFO     | app.service.employee_service:82 | get_by_project_status() | [Thread-4 (process_request_thread)] | STATISTICS: Found 6 employees (40.00% of workforce) with 6 'completed' projects
2025-05-25 15:05:45 | INFO     | app.service.employee_service:90 | get_by_project_status() | [Thread-4 (process_request_thread)] | DETAILED BREAKDOWN: Employees with 'completed' projects by department: {'HR': 1, 'IT': 2, 'Finance': 2, 'QA': 1}
2025-05-25 15:05:45 | INFO     | app.service.employee_service:92 | get_by_project_status() | [Thread-4 (process_request_thread)] | API RESPONSE: Returning 6 employee records with 'completed' projects
2025-05-25 15:05:45 | INFO     | employee_api.main:53 | fetch_completed_project_employees() | [Thread-4 (process_request_thread)] | API RESPONSE [1722028236304]: Returning 6 employees with completed projects with HTTP 200 status
2025-05-25 15:12:27 | INFO     | app.service.employee_service:12 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-25 15:12:27 | INFO     | app.service.employee_service:16 | load_employees() | [MainThread] | DATA LOAD: Successfully read 18 employee records from JSON file
2025-05-25 15:12:27 | INFO     | app.service.employee_service:24 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Vikram Deshmukh', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Pune', 'dob': '****-**-**', 'projects': []}
2025-05-25 15:12:27 | INFO     | app.service.employee_service:33 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 7, 'QA': 2, 'Marketing': 2, 'Operations': 1, 'Support': 1}
2025-05-25 15:12:27 | INFO     | app.service.employee_service:35 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 18 Employee objects successfully
2025-05-25 15:12:27 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-25 15:12:27 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-25 15:12:27 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [HEAD, GET, OPTIONS] /static/<path:filename>', 'health_check [HEAD, GET, OPTIONS] /', 'fetch_all_employees [HEAD, GET, OPTIONS] /employees', 'fetch_bench_employees [HEAD, GET, OPTIONS] /employees/bench', 'fetch_active_project_employees [HEAD, GET, OPTIONS] /employees/active_projects', 'fetch_completed_project_employees [HEAD, GET, OPTIONS] /employees/completed_projects']
2025-05-25 15:12:27 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-25 15:12:28 | INFO     | app.service.employee_service:12 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-25 15:12:28 | INFO     | app.service.employee_service:16 | load_employees() | [MainThread] | DATA LOAD: Successfully read 18 employee records from JSON file
2025-05-25 15:12:28 | INFO     | app.service.employee_service:24 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Vikram Deshmukh', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Pune', 'dob': '****-**-**', 'projects': []}
2025-05-25 15:12:28 | INFO     | app.service.employee_service:33 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 7, 'QA': 2, 'Marketing': 2, 'Operations': 1, 'Support': 1}
2025-05-25 15:12:28 | INFO     | app.service.employee_service:35 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 18 Employee objects successfully
2025-05-25 15:12:28 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-25 15:12:28 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-25 15:12:28 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [OPTIONS, HEAD, GET] /static/<path:filename>', 'health_check [OPTIONS, HEAD, GET] /', 'fetch_all_employees [OPTIONS, HEAD, GET] /employees', 'fetch_bench_employees [OPTIONS, HEAD, GET] /employees/bench', 'fetch_active_project_employees [OPTIONS, HEAD, GET] /employees/active_projects', 'fetch_completed_project_employees [OPTIONS, HEAD, GET] /employees/completed_projects']
2025-05-25 15:12:28 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-25 15:12:35 | INFO     | employee_api.main:27 | fetch_bench_employees() | [Thread-2 (process_request_thread)] | API REQUEST [2936221179408]: Bench employees endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.44.0
2025-05-25 15:12:35 | INFO     | app.service.employee_service:50 | get_bench_employees() | [Thread-2 (process_request_thread)] | API REQUEST: Filtering for bench employees from total 18 employees
2025-05-25 15:12:35 | INFO     | app.service.employee_service:56 | get_bench_employees() | [Thread-2 (process_request_thread)] | STATISTICS: Found 7 employees on bench (38.89% of workforce)
2025-05-25 15:12:35 | INFO     | app.service.employee_service:63 | get_bench_employees() | [Thread-2 (process_request_thread)] | DETAILED BREAKDOWN: Bench employees by department: {'Finance': 1, 'QA': 1, 'HR': 1, 'Marketing': 1, 'Operations': 1, 'Support': 1, 'IT': 1}
2025-05-25 15:12:35 | INFO     | app.service.employee_service:65 | get_bench_employees() | [Thread-2 (process_request_thread)] | API RESPONSE: Returning 7 bench employee records
2025-05-25 15:12:35 | INFO     | employee_api.main:31 | fetch_bench_employees() | [Thread-2 (process_request_thread)] | API RESPONSE [2936221179408]: Returning 7 bench employees with HTTP 200 status
2025-05-25 15:13:19 | INFO     | employee_api.main:38 | fetch_active_project_employees() | [Thread-3 (process_request_thread)] | API REQUEST [2936221179408]: Active projects endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.44.0
2025-05-25 15:13:19 | INFO     | app.service.employee_service:69 | get_by_project_status() | [Thread-3 (process_request_thread)] | API REQUEST: Filtering employees by project status: 'active'
2025-05-25 15:13:19 | INFO     | app.service.employee_service:82 | get_by_project_status() | [Thread-3 (process_request_thread)] | STATISTICS: Found 6 employees (33.33% of workforce) with 6 'active' projects
2025-05-25 15:13:19 | INFO     | app.service.employee_service:90 | get_by_project_status() | [Thread-3 (process_request_thread)] | DETAILED BREAKDOWN: Employees with 'active' projects by department: {'IT': 5, 'Marketing': 1}
2025-05-25 15:13:19 | INFO     | app.service.employee_service:92 | get_by_project_status() | [Thread-3 (process_request_thread)] | API RESPONSE: Returning 6 employee records with 'active' projects
2025-05-25 15:13:19 | INFO     | employee_api.main:42 | fetch_active_project_employees() | [Thread-3 (process_request_thread)] | API RESPONSE [2936221179408]: Returning 6 employees with active projects with HTTP 200 status
2025-05-25 15:13:42 | INFO     | employee_api.main:49 | fetch_completed_project_employees() | [Thread-4 (process_request_thread)] | API REQUEST [2936221179408]: Completed projects endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.44.0
2025-05-25 15:13:42 | INFO     | app.service.employee_service:69 | get_by_project_status() | [Thread-4 (process_request_thread)] | API REQUEST: Filtering employees by project status: 'completed'
2025-05-25 15:13:42 | INFO     | app.service.employee_service:82 | get_by_project_status() | [Thread-4 (process_request_thread)] | STATISTICS: Found 7 employees (38.89% of workforce) with 7 'completed' projects
2025-05-25 15:13:42 | INFO     | app.service.employee_service:90 | get_by_project_status() | [Thread-4 (process_request_thread)] | DETAILED BREAKDOWN: Employees with 'completed' projects by department: {'HR': 1, 'IT': 3, 'Finance': 2, 'QA': 1}
2025-05-25 15:13:42 | INFO     | app.service.employee_service:92 | get_by_project_status() | [Thread-4 (process_request_thread)] | API RESPONSE: Returning 7 employee records with 'completed' projects
2025-05-25 15:13:42 | INFO     | employee_api.main:53 | fetch_completed_project_employees() | [Thread-4 (process_request_thread)] | API RESPONSE [2936221179408]: Returning 7 employees with completed projects with HTTP 200 status
